Y,M,D,Name,Days,Repeat,Note
2021,1,1,New Year's Day,1,1,
2021,1,6,Epiphany,1,1,Twelveth day of Christmas
2021,1,18,Week of Prayer,8,1,
2021,2,3,Yang's Birthday,1,1,
2021,2,8,Happy Birthday,1,1,
2021,2,12,Auntie Grace's Birthday,1,1,
2021,2,12,Chinese New Year,15,1,Manually Update
2021,2,17,Ash Wednesday,1,1,First day of Lent (46 days before Easter)
2021,2,17,Lent,40,1,Every day except Sunday
2021,3,10,Gege's Birthday,1,1,
2021,3,14,Mothering Sunday,1,1,Fourth Sunday of Lent
2021,3,25,Annunciation,1,1,
2021,3,28,Palm Sunday,1,1,Sunday before Easter
2021,3,29,Holy Monday,1,1,Monday before Easter
2021,3,30,Holy Tuesday,1,1,Tuesday before Easter
2021,3,31,Spy Wednesday,1,1,Wednesday before Easter
2021,4,1,Maundy Thursday,1,1,Thursday before Easter
2021,4,2,Good Friday,1,1,Friday before Easter
2021,4,3,Holy Saturday,1,1,Saturday before Easter
2021,4,4,Easter,1,1,Sunday following the paschal full moon date
2021,5,1,Labour Day,1,1,
2021,5,9,Mother's Day,1,1,Second Sunday of May
2021,5,13,Ascension Day,1,1,40 days after Easter
2021,5,13,Hari Raya Puasa,1,1,Manually Update
2021,5,23,Pentecost,1,1,Sunday 50 day after Easter (7 weeks)
2021,5,26,Vesak Day,1,1,Manually Update
2021,7,20,Hari Raya Haji,2,1,Manually Update
2021,8,1,Mum's Birthday,1,1,
2021,8,9,National Day,1,1,
2021,11,1,All Saint's Day,1,1,
2021,11,4,Deepavali,1,1,Manually Update
2021,11,28,Advent Sunday,4,7,Starts 4 Sundays before Christmas
2021,12,25,Christmas,1,1,
2021,12,31,New Year's Eve,1,1,
2022,1,1,New Year's Day,1,1,
2022,1,6,Epiphany,1,1,Twelveth day of Christmas
2022,1,18,Week of Prayer,8,1,
2022,2,1,Chinese New Year,15,1,Manually Update
2022,2,3,Yang's Birthday,1,1,
2022,2,8,Happy Birthday,1,1,
2022,2,12,Auntie Grace's Birthday,1,1,
2022,3,2,Ash Wednesday,1,1,First day of Lent (46 days before Easter)
2022,3,2,Lent,40,1,Every day except Sunday
2022,3,10,Gege's Birthday,1,1,
2022,3,25,Annunciation,1,1,
2022,3,27,Mothering Sunday,1,1,Fourth Sunday of Lent
2022,4,10,Palm Sunday,1,1,Sunday before Easter
2022,4,11,Holy Monday,1,1,Monday before Easter
2022,4,12,Holy Tuesday,1,1,Tuesday before Easter
2022,4,13,Spy Wednesday,1,1,Wednesday before Easter
2022,4,14,Maundy Thursday,1,1,Thursday before Easter
2022,4,15,Good Friday,1,1,Friday before Easter
2022,4,16,Holy Saturday,1,1,Saturday before Easter
2022,4,17,Easter,1,1,Sunday following the paschal full moon date
2022,5,1,Labour Day,1,1,
2022,5,2,Hari Raya Puasa,1,1,Manually Update
2022,5,6,Vesak Day,1,1,Manually Update
2022,5,8,Mother's Day,1,1,Second Sunday of May
2022,5,26,Ascension Day,1,1,40 days after Easter
2022,6,5,Pentecost,1,1,Sunday 50 day after Easter (7 weeks)
2022,7,9,Hari Raya Haji,2,1,Manually Update
2022,8,1,Mum's Birthday,1,1,
2022,8,9,National Day,1,1,
2022,10,24,Deepavali,1,1,Manually Update
2022,11,1,All Saint's Day,1,1,
2022,11,27,Advent Sunday,4,7,Starts 4 Sundays before Christmas
2022,12,25,Christmas,1,1,
2022,12,31,New Year's Eve,1,1,
